Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2022,Spring,2022-sp,CHEM,101,Introductory Chemistry,DIS,0,8,6,6,10,7,9,7,6,4,3,1,3,2,72,"Szymanski, A"
2022,Spring,2022-sp,CHEM,101,Introductory Chemistry,LEC,21,45,23,20,58,25,19,19,6,0,4,0,21,8,269,"Szymanski, Andrew"
2023,Fall,2023-fa,CHEM,101,Introductory Chemistry,DIS,7,8,8,29,21,13,7,8,3,7,7,0,2,5,125,"Delgadillo, J"
2023,Fall,2023-fa,CHEM,101,Introductory Chemistry,LEC,13,22,2,36,28,20,16,30,30,0,0,8,24,8,237,"Delgadillo, Jarosław"
2023,Fall,2023-fa,CHEM,101,Introductory Chemistry,LEC,7,33,19,31,29,34,16,30,26,17,28,6,9,7,292,"Szymanski, Andrew"
2023,Spring,2023-sp,CHEM,101,Introductory Chemistry,LEC,13,36,40,38,61,41,24,43,26,16,16,20,16,14,404,"Delgadillo, Jarosław"
2023,Spring,2023-sp,CHEM,101,Introductory Chemistry,LEC,0,30,27,52,41,53,42,36,52,0,5,0,28,14,380,"Szymanski, Andrew"
2024,Fall,2024-fa,CHEM,101,Introductory Chemistry,DIS,1,8,10,3,10,13,4,7,7,1,6,0,3,0,73,"Delgadillo, J"
2024,Fall,2024-fa,CHEM,101,Introductory Chemistry,LEC,15,36,26,18,24,26,25,21,8,14,13,8,11,5,250,"Delgadillo, Jarosław"
2024,Fall,2024-fa,CHEM,101,Introductory Chemistry,ONL,15,22,27,32,54,43,19,29,13,11,25,0,7,8,305,"Szymanski, Andrew"
2024,Spring,2024-sp,CHEM,101,Introductory Chemistry,DIS,9,14,4,17,14,4,14,8,5,4,0,2,10,2,107,"Delgadillo, J"
2024,Spring,2024-sp,CHEM,101,Introductory Chemistry,LEC,9,37,16,25,50,23,44,46,11,1,0,0,9,8,279,"Delgadillo, Jarosław"
2024,Spring,2024-sp,CHEM,101,Introductory Chemistry,LEC,10,35,25,29,27,41,33,24,10,12,3,0,0,4,253,"Szymanski, A"
2025,Fall,2025-fa,CHEM,101,Introductory Chemistry,DIS,1,12,5,6,14,5,15,6,3,1,5,9,12,1,95,"Delgadillo, J"
2025,Fall,2025-fa,CHEM,101,Introductory Chemistry,LEC,5,41,18,12,44,17,15,13,10,20,16,14,28,12,265,
2025,Fall,2025-fa,CHEM,101,Introductory Chemistry,LEC,0,32,31,24,46,28,12,27,11,33,0,9,6,9,268,"Delgadillo, Jarosław"
2025,Fall,2025-fa,CHEM,101,Introductory Chemistry,LEC,4,23,28,56,44,29,24,31,31,12,24,0,11,15,332,"Staff"
2020,Fall,2020-fa,CHEM,102,General Chemistry I,LCD,8,40,30,14,59,40,37,53,33,5,0,1,17,13,350,"Vasquez-Holm, Mihail"
2020,Spring,2020-sp,CHEM,102,General Chemistry I,LEC,14,28,12,36,39,56,34,38,10,17,6,0,14,9,313,"Vasquez-Holm, M"
2021,Fall,2021-fa,CHEM,102,General Chemistry I,LEC,10,19,15,26,71,37,34,28,40,21,12,16,9,10,348,"Bogusławski, Amara"
2021,Fall,2021-fa,CHEM,102,General Chemistry I,LEC,9,22,12,40,40,20,35,28,19,25,11,4,2,11,278,"Brandvold, Steven"
2021,Spring,2021-sp,CHEM,102,General Chemistry I,DIS,6,10,5,7,13,9,15,11,5,5,2,2,3,3,96,"Vasquez-Holm, M"
2021,Spring,2021-sp,CHEM,102,General Chemistry I,LEC,6,29,31,25,36,45,62,63,32,43,4,0,14,14,404,"Vasquez Holm, Mihail"
2022,Spring,2022-sp,CHEM,102,General Chemistry I,DIS,12,8,3,14,9,13,12,11,10,0,12,8,8,5,125,"Vasquez-Holm, M"
2022,Spring,2022-sp,CHEM,102,General Chemistry I,LCD,7,38,0,22,32,37,52,38,43,17,20,23,19,11,359,"Bogusławski, Amara"
2022,Spring,2022-sp,CHEM,102,General Chemistry I,LEC,23,23,20,12,24,25,22,34,13,17,7,3,10,4,237,"Brandvold, Steven"
2022,Spring,2022-sp,CHEM,102,General Chemistry I,LEC,5,7,17,10,8,16,26,13,22,4,12,5,4,4,153,"Vasquez-Holm, Mihail"
2023,Fall,2023-fa,CHEM,102,General Chemistry I,LEC,0,12,6,33,32,35,39,32,39,31,11,8,3,3,284,"Vasquez-Holm, Mihail"
2023,Spring,2023-sp,CHEM,102,General Chemistry I,DIS,6,17,4,7,17,8,13,7,6,4,0,3,0,1,93,"Brandvold, S"
2023,Spring,2023-sp,CHEM,102,General Chemistry I,LEC,20,28,52,43,27,22,42,41,21,22,31,12,8,8,377,"Brandvold, Steven"
2023,Spring,2023-sp,CHEM,102,General Chemistry I,ONL,4,16,25,48,37,60,51,32,57,11,23,15,21,15,415,"Bogusławski, Amara"
